KEYCHANGE_DONT_SAVE_EXIT	Exit without saving?
KEY_GRAVE_LALT	ALT + `
KEY_GRAVE_LCONTROL	CTRL + `
KEY_GRAVE_LSHIFT	SHIFT + `
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	CTRL + G
KEY_G_LSHIFT	SHIFT + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	CTRL + H
KEY_H_LSHIFT	SHIFT + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	CTRL + I
KEY_I_LSHIFT	SHIFT + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	CTRL + J
KEY_J_LSHIFT	SHIFT + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	CTRL + K
KEY_K_LSHIFT	SHIFT + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	CTRL
KEY_LEFT	LEFT
KEY_LSHIFT	SHIFT
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	CTRL + L
KEY_L_LSHIFT	SHIFT + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	CTRL + M
KEY_M_LSHIFT	SHIFT + M
KEY_N	N
KEY_NUMLOCK	NUMLOCK
KEY_NUMPAD0	NUMPAD 0
KEY_NUMPAD1	NUMPAD 1
KEY_NUMPAD2	NUMPAD 2
KEY_NUMPAD3	NUMPAD 3
KEY_NUMPAD4	NUMPAD 4
KEY_NUMPAD5	NUMPAD 5
KEY_NUMPAD6	NUMPAD 6
KEY_NUMPAD7	NUMPAD 7
KEY_NUMPAD8	NUMPAD 8
KEY_NUMPAD9	NUMPAD 9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	CTRL + N
KEY_N_LSHIFT	SHIFT + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	CTRL + O
KEY_O_LSHIFT	SHIFT + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	CTRL + .
KEY_PERIOD_LSHIFT	SHIFT + .
KEY_PGDN	PAGE DOWN
KEY_PGUP	PAGE UP
KEY_P_LALT	ALT + P
KEY_P_LCONTROL	CTRL + P
KEY_P_LSHIFT	SHIFT + P
KEY_Q	Q
KEY_Q_LALT	ALT + Q
KEY_Q_LCONTROL	CTRL + Q
KEY_Q_LSHIFT	SHIFT + Q
KEY_R	R
KEY_RIGHT	RIGHT
KEY_R_LALT	ALT + R
KEY_R_LCONTROL	CTRL + R
KEY_R_LSHIFT	SHIFT + R
KEY_S	S
KEY_SPACE	SPACE
KEY_SUBTRACT	-
KEY_SYSRQ	PRT SCN
KEY_S_LALT	ALT + S
KEY_S_LCONTROL	CTRL + S
KEY_S_LSHIFT	SHIFT + S
KEY_T	T
KEY_TAB	TAB
KEY_T_LALT	ALT + T
KEY_T_LCONTROL	CTRL + T
KEY_T_LSHIFT	SHIFT + T
KEY_U	U
KEY_UP	UP
KEY_U_LALT	ALT + U
KEY_U_LCONTROL	CTRL + U
KEY_U_LSHIFT	SHIFT + U
KEY_V	V
KEY_V_LALT	ALT + V
KEY_V_LCONTROL	CTRL + V
KEY_V_LSHIFT	SHIFT + V
KEY_W	W
KEY_W_LALT	ALT + W
KEY_W_LCONTROL	CTRL + W
KEY_W_LSHIFT	SHIFT + W
KEY_X	X
KEY_X_LALT	ALT + X
KEY_X_LCONTROL	CTRL + X
KEY_X_LSHIFT	SHIFT + X
KEY_Y	Y
KEY_Y_LALT	ALT + Y
KEY_Y_LCONTROL	CTRL + Y
KEY_Y_LSHIFT	SHIFT + Y
KEY_Z	Z
KEY_Z_LALT	ALT + Z
KEY_Z_LCONTROL	CTRL + Z
KEY_Z_LSHIFT	SHIFT + Z
